Exam Year,District,University,Course,Zscore,Matched_Course_University,Stream,Intake
2019,Colombo,University Of Colombo,Medicine,2.4546,Medicine (University Of Colombo),Biological Science,214
2019,Gampaha,University Of Colombo,Medicine,2.501,Medicine (University Of Colombo),Biological Science,214
2019,Kalutara,University Of Colombo,Medicine,2.5199,Medicine (University Of Colombo),Biological Science,214
2019,Matale,University Of Colombo,Medicine,2.5115,Medicine (University Of Colombo),Biological Science,214
2019,Kandy,University Of Colombo,Medicine,2.5805,Medicine (University Of Colombo),Biological Science,214
2019,Nuwara Eliya,University Of Colombo,Medicine,2.8375,Medicine (University Of Colombo),Biological Science,214
2019,Galle,University Of Colombo,Medicine,2.522,Medicine (University Of Colombo),Biological Science,214
2019,Matara,University Of Colombo,Medicine,2.4758,Medicine (University Of Colombo),Biological Science,214
2019,Hambantota,University Of Colombo,Medicine,2.4648,Medicine (University Of Colombo),Biological Science,214
2019,Jaffna,University Of Colombo,Medicine,2.5293,Medicine (University Of Colombo),Biological Science,214
2019,Kilinochchi,University Of Colombo,Medicine,NQC,Medicine (University Of Colombo),Biological Science,214
2019,Mannar,University Of Colombo,Medicine,NQC,Medicine (University Of Colombo),Biological Science,214
2019,Mullaitivu,University Of Colombo,Medicine,NQC,Medicine (University Of Colombo),Biological Science,214
2019,Vavuniya,University Of Colombo,Medicine,2.5182,Medicine (University Of Colombo),Biological Science,214
2019,Trincomalee,University Of Colombo,Medicine,NQC,Medicine (University Of Colombo),Biological Science,214
2019,Batticaloa,University Of Colombo,Medicine,2.5213,Medicine (University Of Colombo),Biological Science,214
2019,Ampara,University Of Colombo,Medicine,2.482,Medicine (University Of Colombo),Biological Science,214
2019,Puttalam,University Of Colombo,Medicine,2.495,Medicine (University Of Colombo),Biological Science,214
2019,Kurunegala,University Of Colombo,Medicine,2.5206,Medicine (University Of Colombo),Biological Science,214
2019,Anuradhapura,University Of Colombo,Medicine,NQC,Medicine (University Of Colombo),Biological Science,214
2019,Polonnaruwa,University Of Colombo,Medicine,2.469,Medicine (University Of Colombo),Biological Science,214
2019,Badulla,University Of Colombo,Medicine,2.477,Medicine (University Of Colombo),Biological Science,214
2019,Monaragala,University Of Colombo,Medicine,2.5168,Medicine (University Of Colombo),Biological Science,214
2019,Kegalle,University Of Colombo,Medicine,NQC,Medicine (University Of Colombo),Biological Science,214
2019,Ratnapura,University Of Colombo,Medicine,2.4741,Medicine (University Of Colombo),Biological Science,214
2019,Colombo,University Of Peradeniya,Medicine,2.3255,Medicine (University Of Peradeniya),Biological Science,225
2019,Gampaha,University Of Peradeniya,Medicine,2.3317,Medicine (University Of Peradeniya),Biological Science,225
2019,Kalutara,University Of Peradeniya,Medicine,2.3277,Medicine (University Of Peradeniya),Biological Science,225
2019,Matale,University Of Peradeniya,Medicine,2.3456,Medicine (University Of Peradeniya),Biological Science,225
2019,Kandy,University Of Peradeniya,Medicine,2.3727,Medicine (University Of Peradeniya),Biological Science,225
2019,Nuwara Eliya,University Of Peradeniya,Medicine,2.3809,Medicine (University Of Peradeniya),Biological Science,225
2019,Galle,University Of Peradeniya,Medicine,2.325,Medicine (University Of Peradeniya),Biological Science,225
2019,Matara,University Of Peradeniya,Medicine,2.3492,Medicine (University Of Peradeniya),Biological Science,225
2019,Hambantota,University Of Peradeniya,Medicine,NQC,Medicine (University Of Peradeniya),Biological Science,225
2019,Jaffna,University Of Peradeniya,Medicine,2.366,Medicine (University Of Peradeniya),Biological Science,225
2019,Kilinochchi,University Of Peradeniya,Medicine,NQC,Medicine (University Of Peradeniya),Biological Science,225
2019,Mannar,University Of Peradeniya,Medicine,NQC,Medicine (University Of Peradeniya),Biological Science,225
2019,Mullaitivu,University Of Peradeniya,Medicine,NQC,Medicine (University Of Peradeniya),Biological Science,225
2019,Vavuniya,University Of Peradeniya,Medicine,NQC,Medicine (University Of Peradeniya),Biological Science,225
2019,Trincomalee,University Of Peradeniya,Medicine,NQC,Medicine (University Of Peradeniya),Biological Science,225
2019,Batticaloa,University Of Peradeniya,Medicine,2.3768,Medicine (University Of Peradeniya),Biological Science,225
2019,Ampara,University Of Peradeniya,Medicine,2.3294,Medicine (University Of Peradeniya),Biological Science,225
2019,Puttalam,University Of Peradeniya,Medicine,2.4914,Medicine (University Of Peradeniya),Biological Science,225
2019,Kurunegala,University Of Peradeniya,Medicine,2.3312,Medicine (University Of Peradeniya),Biological Science,225
2019,Anuradhapura,University Of Peradeniya,Medicine,2.4235,Medicine (University Of Peradeniya),Biological Science,225
2019,Polonnaruwa,University Of Peradeniya,Medicine,2.4509,Medicine (University Of Peradeniya),Biological Science,225
2019,Badulla,University Of Peradeniya,Medicine,NQC,Medicine (University Of Peradeniya),Biological Science,225
2019,Monaragala,University Of Peradeniya,Medicine,NQC,Medicine (University Of Peradeniya),Biological Science,225
2019,Kegalle,University Of Peradeniya,Medicine,2.3502,Medicine (University Of Peradeniya),Biological Science,225
2019,Ratnapura,University Of Peradeniya,Medicine,2.3453,Medicine (University Of Peradeniya),Biological Science,225
2019,Colombo,University Of Sri Jayewardenepura,Medicine,2.2572,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Gampaha,University Of Sri Jayewardenepura,Medicine,2.43,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Kalutara,University Of Sri Jayewardenepura,Medicine,2.2924,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Matale,University Of Sri Jayewardenepura,Medicine,NQC,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Kandy,University Of Sri Jayewardenepura,Medicine,2.266,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Nuwara Eliya,University Of Sri Jayewardenepura,Medicine,NQC,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Galle,University Of Sri Jayewardenepura,Medicine,2.2716,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Matara,University Of Sri Jayewardenepura,Medicine,2.2627,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Hambantota,University Of Sri Jayewardenepura,Medicine,NQC,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Jaffna,University Of Sri Jayewardenepura,Medicine,2.2998,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Kilinochchi,University Of Sri Jayewardenepura,Medicine,NQC,Medicine (University Of Sri Jayewardenepura),Biological Science,184
2019,Mannar,University Of Sri Jayewardenepura,Medicine,NQC,Medicine (University Of Sri Jayewardenepura),Biological Science,184
